SPO_kernel,n
2.3753286425572284,50
2.2863158270049224,50
2.526361840116087,50
2.239002815614143,50
2.1986570673631207,50
2.535533364733452,50
2.3560829586523,50
2.6592388859064475,50
2.3446134633915263,50
2.3568135731029125,50
2.3396676384349244,50
2.914680475154221,50
2.9018534382068553,50
2.3229704031687293,50
2.398386325778391,50
2.755434840569841,50
2.8399714492622317,50
2.4509636415301306,50
2.305875187528457,50
2.2414514898208058,50
2.1395933510672016,50
2.393922161315849,50
2.3835812062636834,50
3.265574259845688,50
2.936354902495078,50
2.08320967041992,50
1.9930810458842163,50
2.9396481512307813,50
2.081491964210616,50
2.930814072646114,50
3.304538364652648,50
2.312027148083246,50
2.68407552720902,50
2.817275421236912,50
2.3126269210050348,50
2.743621364335084,50
2.593801602260318,50
2.241704460105932,50
2.193547951926063,50
2.382848571193869,50
2.790518381763317,50
2.5730351897921797,50
2.506597458293635,50
2.2869116851464195,50
2.428212836463023,50
2.571109528317165,50
2.459508589492466,50
2.64680889017998,50
2.2035102812933203,50
2.6397467289558927,50
1.9267959372780663,100
1.904194424046666,100
1.6548982422959106,100
1.7059902405993157,100
1.409965047611383,100
1.6044946455401372,100
1.5759520710127906,100
1.6477998810245047,100
1.3578338935750731,100
1.4111604780109843,100
1.703257738977476,100
1.5391073431009878,100
1.564120759944605,100
1.781944767513962,100
1.4572307315035884,100
1.845967768670725,100
1.642863740471918,100
1.3966908845087225,100
1.4403494690219276,100
1.3791529995853369,100
1.833225155764566,100
1.6559481617065377,100
1.5822395599358547,100
2.0784775543838108,100
1.625041107188662,100
1.485156338431061,100
1.5078715277145402,100
1.6002811222524564,100
1.5697828600618846,100
1.9008904598244352,100
1.8940564716871515,100
1.442317864408892,100
1.48856417487375,100
1.8317985529737353,100
1.678398231454013,100
1.7209102008478796,100
1.6472836988452002,100
1.5550989508429145,100
1.4097300060833735,100
1.8786192554470968,100
1.9523211449749265,100
1.7045641637299564,100
1.5000630242698212,100
1.4907883847248655,100
1.3709428033110092,100
1.490669222327088,100
1.6992028505298544,100
1.4824097586979792,100
1.496357988529821,100
1.902420448174292,100
1.2566122679407192,200
1.2002528262268086,200
1.1046074567642048,200
1.130062209524568,200
1.1252810896820558,200
1.2496538401616128,200
1.234748575517802,200
1.229556878527388,200
1.0041395110388611,200
1.2786816796827254,200
1.206625482962698,200
1.155833258137846,200
1.010775521329595,200
1.2875877579325334,200
1.178626661054034,200
1.115683775122076,200
1.1942674416508785,200
1.0440394411493756,200
1.0695427360419243,200
1.0957667891493017,200
0.9793806065252706,200
1.1844411526186571,200
1.3413314568381725,200
1.0355599566388245,200
1.163286087624705,200
1.3584324613556815,200
1.1219696382915465,200
1.2064243080288386,200
1.0547766486506616,200
1.2164005739172945,200
1.2241574274146825,200
0.9437626495196174,200
1.1335563250935454,200
1.243535848641922,200
1.3494196465635135,200
1.1393109790216234,200
1.0705023489903758,200
1.417667491203841,200
1.3153715816280775,200
1.2454548938442551,200
1.3304249059195314,200
1.028311533882656,200
1.2489210060424858,200
1.350734868212384,200
1.0818650594820745,200
1.0596171751151224,200
1.1259014000186185,200
1.0709039080756384,200
1.136146542980519,200
1.315121254839826,200
1.0146775819390854,300
0.9735948343058878,300
0.95392796710579,300
0.9358943486012689,300
1.015888966354129,300
0.8999448695460605,300
