SPO_kernel,ETO_kernel,n
2.7130230446265813,1.8519730441073383,50
2.694042566321804,1.7878857629057061,50
2.952247149570431,2.445764904425196,50
2.2949924864244995,2.0394798817728788,50
2.213126970344625,1.9679872321789704,50
3.066647363973983,2.1296176810563607,50
3.088006021056825,1.9924109394332925,50
2.9459944751690115,2.2792507270030375,50
2.242614055610436,2.427529055675288,50
2.4224066873730377,2.1403644052564172,50
2.4958998907653744,2.15841156800694,50
2.320745826410727,2.4112031747036,50
2.6198896328874692,2.3714347605317743,50
2.48011877061793,2.032592193257194,50
2.5765229324719408,2.7259433928412755,50
2.9789981815822433,3.0306857876360156,50
2.598431933133625,2.1023846293052775,50
2.778640087398855,3.2979198233923093,50
3.138750087823415,2.0568715725644533,50
2.3979989534509167,1.8682483716543763,50
2.6455388302609877,2.079848615442751,50
2.7969721502374343,2.086760503820677,50
2.4185262329350903,2.6605808606717427,50
3.019293638600594,2.104949028655182,50
2.502622921975194,2.631312532095211,50
2.2821818932777584,1.9442018735755575,50
2.3504169491862084,2.006510455980856,50
2.620397430101445,2.2915030945198698,50
2.3015934346514157,2.078189729169383,50
2.9199523504219314,2.473461185542352,50
2.8491187179253155,2.397776673414824,50
2.454645005153446,1.846743623413999,50
2.908427683292696,2.581917260805343,50
2.6744483447128373,2.0989205744939063,50
2.6230703141353793,2.0218660157661175,50
3.007617665500812,1.8829986169539832,50
2.8986589957707127,2.2657442059199155,50
2.44420610018282,1.9175532546519736,50
2.663849208536877,1.8909857972381283,50
2.53050117634422,1.9073071160340584,50
2.9211394815633276,2.2761603796970764,50
3.2346280827889413,2.128633777437692,50
2.295776911036218,2.293242339633531,50
2.491018273238258,2.027946888508057,50
2.457924918958238,1.65610956124751,50
2.516940102057086,2.4236211040092916,50
2.687756429898367,2.4445045317925147,50
2.590187301845483,1.9761888595095911,50
2.3469395867538507,2.5740433819152644,50
2.7244400316955315,2.2379848118643353,50
1.9977297905868832,1.3177352989895212,100
2.0170911651589742,1.3865298270417403,100
1.857626118057148,1.2563723908611857,100
1.7541483015835495,1.793143591062131,100
1.608937697195836,1.036158530025662,100
1.8220183018760951,1.2125937950944266,100
1.7653759391466552,1.16445514763401,100
1.9208225286616325,1.369487431981762,100
1.4710679512308995,1.2535599100150436,100
1.8840378849067112,1.403575954870456,100
1.7798589448740516,1.5487072583049728,100
1.6470779262848805,1.229594479281018,100
1.8085043046064264,1.3502241010433984,100
1.9218952550278168,1.4507209642968704,100
1.783193744590739,1.4744162804825092,100
2.0092027854762833,1.398882498740877,100
1.9447754721494792,0.9936557644037182,100
1.5179073426801626,2.166906765978951,100
1.6302045236130014,1.2241314756328965,100
1.661955135785058,1.1557951802293112,100
1.6107891410299848,1.1156986133342917,100
1.8373907727361225,1.152720339721545,100
1.799114047146953,1.2067498603458664,100
2.3324832589188635,1.4076918263375116,100
2.047728935178373,1.1363540366213305,100
1.7920659301908046,1.3125282951781052,100
1.6115862116608204,1.183685697140992,100
1.8310819944678935,1.2993682412962346,100
1.8529097978470412,1.5287665570072717,100
1.9330787435819503,1.4973244083830215,100
2.3924773584398453,1.148070318682826,100
1.6719396259714794,1.3477651335121836,100
1.8264763285454928,1.3810530466492128,100
2.0212984371101896,1.5097749789539343,100
2.370806127244454,1.7684615463920617,100
1.881913071114568,1.3282495291809084,100
